sample,altitude_m,ambient_temp_c,air_density_kg_m3,throttle,rpm,egt_c,cht_c,oil_pressure_psi,oil_temperature_c,fuel_flow,engine_load,vibration_rms_g,injection_timing_deg,battery_voltage_v,alternator_current_a,fault_severity,fault,health_state
0,4531.51,20.7,0.7742,0.942,5248.56,663.72,167.29,55.65,104.41,21.37,0.855,0.047082335656788106,22.20506536299493,14.041506379154159,23.286163685850514,0.0,NORMAL,NORMAL
1,2720.0,34.54,0.9356,0.514,3837.75,570.9,140.79,44.51,93.71,12.09,0.484,0.03737725405512576,23.257151357152438,13.83196049747915,17.195833178198143,0.0,NORMAL,NORMAL
2,1664.16,9.14,1.0409,0.936,5424.64,675.31,165.68,57.04,102.79,22.53,0.901,0.04905876709372436,21.90818232281709,14.160355384437077,24.011627188010642,0.0,NORMAL,NORMAL
3,3406.19,26.6,0.8717,0.26,2918.24,510.41,115.05,37.25,81.65,6.04,0.242,0.026329227060430463,24.064797209441974,14.044004425605479,14.718609630445078,0.0,NORMAL,NORMAL
4,3581.74,34.71,0.8559,0.362,3271.28,533.64,127.46,40.04,87.79,8.36,0.335,0.030326087026882633,23.888716528502858,14.142789295048738,14.9189103394153,0.0,NORMAL,NORMAL
5,1624.67,32.74,1.045,0.673,4463.21,612.05,154.71,49.45,99.75,16.21,0.648,0.04360713582160677,23.19010661826772,14.154107767268494,20.16702479555204,0.0,NORMAL,NORMAL
6,1757.78,8.71,1.0312,0.768,4804.24,634.49,150.77,52.14,96.13,18.45,0.738,0.03818537288969538,22.921666798847447,14.110264641684745,21.54237410046578,0.0,NORMAL,NORMAL
7,1764.98,14.11,1.0305,0.52,3898.09,574.87,132.01,44.98,88.21,12.49,0.499,0.030941551428264387,23.887113053219313,13.960305357649695,17.671683380239035,0.0,NORMAL,NORMAL
8,805.13,28.32,1.1331,0.548,4042.94,584.4,142.54,46.13,94.0,13.44,0.538,0.03942324532146884,23.839162692675004,14.09068820025742,18.77348471147329,0.0,NORMAL,NORMAL
9,1588.97,30.36,1.0488,0.971,5557.25,684.03,179.43,58.08,110.55,23.4,0.936,0.04400713534702062,22.45891425345661,13.973065433935066,24.083037313613627,0.0,NORMAL,NORMAL
10,95.85,31.37,1.2138,0.673,4550.05,617.77,156.08,50.13,100.25,16.78,0.671,0.04261008477277019,22.69607953451862,14.145000589336929,19.78738058592271,0.0,NORMAL,NORMAL
11,4683.54,6.5,0.7617,0.639,4198.15,594.62,135.31,47.35,89.09,14.46,0.578,0.039650213808858026,23.728002317037802,13.94428695646746,19.76354484544994,0.0,NORMAL,NORMAL
12,1095.28,5.91,1.1013,0.838,5105.35,654.3,156.5,54.52,98.46,20.43,0.817,0.04442383439043861,22.843301257135018,14.00402325211092,20.88774025989227,0.0,NORMAL,NORMAL
13,1066.64,19.57,1.1044,0.589,4184.34,593.71,141.52,47.24,92.86,14.37,0.575,0.03429840010210913,23.254303591831302,13.952051166211909,19.049965065631653,0.0,NORMAL,NORMAL
14,645.81,9.71,1.1508,0.904,5381.35,672.46,164.94,56.69,102.5,22.25,0.89,0.04837260283928934,22.052002209351567,14.239702143897102,23.055018857475638,0.0,NORMAL,NORMAL
15,2112.75,39.61,0.9951,0.384,3392.17,541.59,132.78,40.99,90.54,9.16,0.366,0.03230047005318489,24.03564392892818,14.151362089018955,15.658963264831119,0.0,NORMAL,NORMAL
16,2216.06,12.77,0.9848,0.862,5116.54,655.04,160.2,54.6,100.64,20.5,0.82,0.045973819163466385,22.485324442660737,13.874517356511065,21.750095194929923,0.0,NORMAL,NORMAL
17,2143.84,16.2,0.992,0.368,3330.37,537.52,119.61,40.5,82.86,8.75,0.35,0.026181351043562923,23.783945502257694,14.006016920693398,15.63325375226096,0.0,NORMAL,NORMAL
18,1267.96,38.99,1.0827,0.41,3513.72,549.59,135.34,41.95,91.63,9.96,0.398,0.029541365465912267,23.83333103729538,13.93580513023074,16.578884402706496,0.0,NORMAL,NORMAL
19,1009.04,7.11,1.1107,0.402,3493.7,548.27,118.93,41.79,81.86,9.83,0.393,0.03517287181675273,23.640074682395532,13.874428745841216,15.904657386190193,0.0,NORMAL,NORMAL
20,105.71,33.1,1.2126,0.47,3781.79,567.22,138.75,44.07,92.69,11.72,0.469,0.031061514613447926,23.506307519300872,13.883698395095754,17.30452421279816,0.0,NORMAL,NORMAL
21,821.66,34.37,1.1313,0.705,4628.44,622.92,159.44,50.75,101.98,17.29,0.692,0.03697953032131858,22.79465175651969,13.89406989887933,19.334739701606054,0.0,NORMAL,NORMAL
22,2120.62,20.64,0.9943,0.296,3071.08,520.47,115.69,38.46,81.47,7.05,0.282,0.03410037195620075,24.513350928319653,13.941619332924674,13.791259098978,0.0,NORMAL,NORMAL
23,770.28,7.2,1.137,0.544,4030.78,583.6,131.7,46.03,87.54,13.36,0.534,0.03594494428252641,23.04799532438772,13.983359745514832,18.401669563407996,0.0,NORMAL,NORMAL
24,1262.18,14.26,1.0833,0.494,3821.73,569.85,130.28,44.38,87.45,11.99,0.479,0.03642840917178487,23.88303269871553,14.026721389006783,17.24036293625253,0.0,NORMAL,NORMAL
25,995.86,36.85,1.1121,0.535,3985.4,580.62,145.45,45.67,95.96,13.06,0.522,0.03870904652275524,23.50720879426752,13.956673991777787,17.509764086643692,0.0,NORMAL,NORMAL
26,4830.87,6.36,0.7497,0.84,4881.79,639.59,151.43,52.75,96.24,18.96,0.758,0.04668413460520386,22.75267907733489,14.072479276380719,21.371013568166422,0.0,NORMAL,NORMAL
27,3061.37,30.61,0.9034,0.44,3562.43,552.79,132.31,42.33,89.63,10.28,0.411,0.033730711958380406,23.605369625354015,13.894851576512947,16.277918403867595,0.0,NORMAL,NORMAL
28,4941.08,39.18,0.7408,0.222,2759.35,499.96,117.57,35.99,83.75,5.0,0.2,0.029422788611987362,24.318520566365677,14.085094095910208,12.627257705109024,0.0,NORMAL,NORMAL
29,135.04,18.82,1.2092,0.858,5250.84,663.87,166.4,55.66,103.87,21.39,0.855,0.046662972142893916,22.02424440657966,13.950870683201225,22.7019238520795,0.0,NORMAL,NORMAL
30,3765.58,30.19,0.8396,0.91,5185.69,659.58,170.55,55.15,106.59,20.96,0.838,0.04633916655105465,22.39188777062063,14.076087985762948,22.5431930922933,0.0,NORMAL,NORMAL
31,625.32,11.81,1.1531,0.537,4011.44,582.33,133.55,45.88,88.72,13.23,0.529,0.037369104901615866,22.852124414872893,14.028904251023656,18.028330068707213,0.0,NORMAL,NORMAL
32,3316.53,33.6,0.8799,0.604,4134.3,590.41,147.35,46.85,96.55,14.04,0.562,0.03765587855084246,23.92260416443907,14.040711671391996,17.82988685424821,0.0,NORMAL,NORMAL
33,1179.16,24.88,1.0922,0.896,5312.06,667.9,170.88,56.15,106.33,21.79,0.872,0.04632475353677217,22.276081680500763,13.938964600330243,22.975915136160904,0.0,NORMAL,NORMAL
34,1164.72,37.26,1.0938,0.847,5133.0,656.12,172.84,54.73,108.16,20.61,0.824,0.04535866981010345,22.968428908654634,13.984926413396352,22.032034105449203,0.0,NORMAL,NORMAL
35,1678.63,38.62,1.0394,0.573,4094.11,587.77,148.91,46.53,97.63,13.78,0.551,0.04373678396816681,22.90441333806262,13.888305182739304,18.70631661290677,0.0,NORMAL,NORMAL
36,3592.85,35.79,0.8549,0.204,2717.24,497.19,114.88,35.66,82.29,4.72,0.189,0.02539406410402847,24.661154296997985,14.031012460218149,12.664127240649707,0.0,NORMAL,NORMAL
37,1435.11,25.35,1.0649,0.26,2955.26,512.85,115.3,37.54,81.66,6.28,0.251,0.027874531687718307,24.10528215670376,13.990554785846415,13.978877228906404,0.0,NORMAL,NORMAL
38,2685.19,24.63,0.939,0.973,5483.08,679.15,174.81,57.5,108.05,22.91,0.917,0.04373042767984338,22.209195276831085,14.009681987962425,24.343141200530177,0.0,NORMAL,NORMAL
39,2379.75,37.68,0.9686,0.464,3669.34,559.83,138.38,43.18,92.88,10.98,0.439,0.03332836333844838,23.444780525527385,14.09579119503482,16.238841167238213,0.0,NORMAL,NORMAL
40,4933.06,13.61,0.7415,0.564,3930.17,576.98,132.52,45.24,88.4,12.7,0.508,0.03439379876646284,23.557418050230304,14.095108851388112,17.973614824024978,0.0,NORMAL,NORMAL
41,3867.7,38.32,0.8306,0.681,4377.99,606.45,155.48,48.77,100.53,15.64,0.626,0.03110692492831399,23.235125831759404,13.924803914092495,18.88465749648719,0.0,NORMAL,NORMAL
42,4486.34,33.16,0.7779,0.818,4824.45,635.82,163.47,52.3,103.68,18.58,0.743,0.04959042430742589,22.916966554758318,14.016177206572278,21.05047250819923,0.0,NORMAL,NORMAL
43,3571.29,31.62,0.8568,0.582,4045.31,584.56,144.25,46.15,95.01,13.46,0.538,0.03254562994866678,23.512619222771253,14.021134928325516,16.329990092327257,0.0,NORMAL,NORMAL
44,1593.73,7.86,1.0483,0.431,3580.42,553.97,121.36,42.48,82.99,10.4,0.416,0.035618004111932666,23.724920823201604,14.288680037734775,17.079177335239116,0.0,NORMAL,NORMAL
45,4194.4,30.07,0.8025,0.761,4641.45,623.78,157.6,50.85,100.83,17.38,0.695,0.03943634229190826,23.25374926615796,14.09295868943409,19.773710679579683,0.0,NORMAL,NORMAL
46,3428.08,13.88,0.8697,0.255,2898.25,509.1,108.21,37.09,77.62,5.91,0.236,0.027115714269062733,24.73626568274847,13.990144324712832,13.933475290197933,0.0,NORMAL,NORMAL
47,2103.28,34.18,0.9961,0.256,2927.19,511.0,119.05,37.32,84.01,6.1,0.244,0.030118272272239205,24.16680600768207,14.17165375480556,13.802653723111108,0.0,NORMAL,NORMAL
48,2471.39,25.3,0.9597,0.2,2718.99,497.3,109.68,35.68,79.16,4.73,0.189,0.028574755259779917,24.756926673051098,14.012166509786121,13.366356729827919,0.0,NORMAL,NORMAL
49,3029.2,21.94,0.9064,0.641,4278.9,599.93,144.95,47.99,94.57,14.99,0.6,0.04021045861939147,23.675649137344173,14.043457357999648,18.354035553665092,0.0,NORMAL,NORMAL
50,3154.24,12.02,0.8948,0.751,4660.93,625.06,149.03,51.01,95.62,17.51,0.7,0.039891044104792196,23.401754678552923,13.90561701890465,20.94057776052435,0.0,NORMAL,NORMAL
51,4786.05,21.31,0.7533,0.908,5117.29,655.08,164.49,54.61,103.21,20.51,0.82,0.044123007790023774,22.048270497529284,14.057417034633598,22.343412227162606,0.0,NORMAL,NORMAL
52,840.68,29.93,1.1292,0.516,3920.74,576.36,140.46,45.16,93.2,12.64,0.505,0.03440473213618719,23.33309224820314,14.184048580020677,17.780537786534126,0.0,NORMAL,NORMAL
53,1033.23,16.96,1.108,0.772,4864.79,638.47,156.33,52.62,99.24,18.85,0.754,0.04201101188350984,22.8410357737998,14.069483898537154,20.734657374634402,0.0,NORMAL,NORMAL
54,1601.7,6.7,1.0474,0.989,5622.32,688.31,169.14,58.6,104.14,23.83,0.953,0.046040235242343346,21.620068486284378,13.927558169418631,24.736131222710707,0.0,NORMAL,NORMAL
55,4599.55,18.84,0.7685,0.745,4566.68,618.86,150.21,50.26,96.67,16.89,0.675,0.038793446095409516,23.202650950979862,13.995586163632804,20.464347120554145,0.0,NORMAL,NORMAL
